PICkitminus and PK2CMD minus supported devices.
Device file based on last publicly available PICKitPlus
device file 2.63.218.15 from https://github.com/Anobium/PICKitPlus
Some devices added and fixed by jaka.
Device file and software updates available from
http://kair.us/projects/pickit2minus/index.html


Device File Version:   2.63.229
Number of devices = 1203

PIC16LF19175                 Midrange/1.8V Min MSB1st
PIC16LF19176                 Midrange/1.8V Min MSB1st
PIC16LF19185                 Midrange/1.8V Min MSB1st
PIC16LF19186                 Midrange/1.8V Min MSB1st
PIC16LF19195                 Midrange/1.8V Min MSB1st
PIC16LF19196                 Midrange/1.8V Min MSB1st
PIC16LF19197                 Midrange/1.8V Min MSB1st
PIC16F753                    Midrange/1.8v SHV Min II
PIC16HV753                   Midrange/1.8v SHV Min II
PIC18F242                    PIC18/PIC18F
PIC18F248                    PIC18/PIC18F
PIC18F252                    PIC18/PIC18F
PIC18F258                    PIC18/PIC18F
PIC18F442                    PIC18/PIC18F
PIC18F448                    PIC18/PIC18F
PIC18F452                    PIC18/PIC18F
PIC18F458                    PIC18/PIC18F
PIC18F1220                   PIC18/PIC18F
PIC18F1230                   PIC18/PIC18F
PIC18F1320                   PIC18/PIC18F
PIC18F1330                   PIC18/PIC18F
PIC18F1330-ICD               PIC18/PIC18F
PIC18F2220                   PIC18/PIC18F
PIC18F2221                   PIC18/PIC18F
PIC18F2320                   PIC18/PIC18F
PIC18F2321                   PIC18/PIC18F
PIC18F2331                   PIC18/PIC18F
PIC18F2410                   PIC18/PIC18F
PIC18F2420                   PIC18/PIC18F
PIC18F2423                   PIC18/PIC18F
PIC18F2431                   PIC18/PIC18F
PIC18F2450                   PIC18/PIC18F
PIC18F2455                   PIC18/PIC18F
PIC18F2458                   PIC18/PIC18F
PIC18F2480                   PIC18/PIC18F
PIC18F2510                   PIC18/PIC18F
PIC18F2515                   PIC18/PIC18F
PIC18F2520                   PIC18/PIC18F
PIC18F2523                   PIC18/PIC18F
PIC18F2525                   PIC18/PIC18F
PIC18F2550                   PIC18/PIC18F
PIC18F2553                   PIC18/PIC18F
PIC18F2580                   PIC18/PIC18F
PIC18F2585                   PIC18/PIC18F
PIC18F2610                   PIC18/PIC18F
PIC18F2620                   PIC18/PIC18F
PIC18F2680                   PIC18/PIC18F
PIC18F2682                   PIC18/PIC18F
PIC18F2685                   PIC18/PIC18F
PIC18F4220                   PIC18/PIC18F
PIC18F4221                   PIC18/PIC18F
PIC18F4320                   PIC18/PIC18F
PIC18F4321                   PIC18/PIC18F
PIC18F4331                   PIC18/PIC18F
PIC18F4410                   PIC18/PIC18F
PIC18F4420                   PIC18/PIC18F
PIC18F4423                   PIC18/PIC18F
PIC18F4431                   PIC18/PIC18F
PIC18F4450                   PIC18/PIC18F
PIC18F4455                   PIC18/PIC18F
PIC18F4458                   PIC18/PIC18F
PIC18F4480                   PIC18/PIC18F
PIC18F4510                   PIC18/PIC18F
PIC18F4515                   PIC18/PIC18F
PIC18F4520                   PIC18/PIC18F
PIC18F4523                   PIC18/PIC18F
PIC18F4525                   PIC18/PIC18F
PIC18F4550                   PIC18/PIC18F
PIC18F4553                   PIC18/PIC18F
PIC18F4580                   PIC18/PIC18F
PIC18F4585                   PIC18/PIC18F
PIC18F4610                   PIC18/PIC18F
PIC18F4620                   PIC18/PIC18F
PIC18F4680                   PIC18/PIC18F
PIC18F4682                   PIC18/PIC18F
PIC18F4685                   PIC18/PIC18F
PIC18F6310                   PIC18/PIC18F
PIC18F6390                   PIC18/PIC18F
PIC18F6393                   PIC18/PIC18F
PIC18F6410                   PIC18/PIC18F
PIC18F6490                   PIC18/PIC18F
PIC18F6493                   PIC18/PIC18F
PIC18F6520                   PIC18/PIC18F
PIC18F6525                   PIC18/PIC18F
PIC18F6527                   PIC18/PIC18F
PIC18F6585                   PIC18/PIC18F
PIC18F6620                   PIC18/PIC18F
PIC18F6621                   PIC18/PIC18F
PIC18F6622                   PIC18/PIC18F
PIC18F6627                   PIC18/PIC18F
PIC18F6628                   PIC18/PIC18F
PIC18F6680                   PIC18/PIC18F
PIC18F6720                   PIC18/PIC18F
PIC18F6722                   PIC18/PIC18F
PIC18F6723                   PIC18/PIC18F
PIC18F8310                   PIC18/PIC18F
PIC18F8390                   PIC18/PIC18F
PIC18F8393                   PIC18/PIC18F
PIC18F8410                   PIC18/PIC18F
PIC18F8490                   PIC18/PIC18F
PIC18F8493                   PIC18/PIC18F
PIC18F8520                   PIC18/PIC18F
PIC18F8525                   PIC18/PIC18F
PIC18F8527                   PIC18/PIC18F
PIC18F8585                   PIC18/PIC18F
PIC18F8620                   PIC18/PIC18F
PIC18F8621                   PIC18/PIC18F
PIC18F8622                   PIC18/PIC18F
PIC18F8627                   PIC18/PIC18F
PIC18F8628                   PIC18/PIC18F
PIC18F8680                   PIC18/PIC18F
PIC18F8720                   PIC18/PIC18F
PIC18F8722                   PIC18/PIC18F
PIC18F8723                   PIC18/PIC18F
PIC18LF6520                  PIC18/PIC18F
PIC18LF8520                  PIC18/PIC18F
PIC18F04Q40                  PIC18/PIC18F MSB1st
PIC18F04Q41                  PIC18/PIC18F MSB1st
PIC18F05Q40                  PIC18/PIC18F MSB1st
PIC18F05Q41                  PIC18/PIC18F MSB1st
PIC18F06Q40                  PIC18/PIC18F MSB1st
PIC18F06Q41                  PIC18/PIC18F MSB1st
PIC18F14Q40                  PIC18/PIC18F MSB1st
